Prop_ID,Name,Address,DogRuns_Type,Borough,Notes
X002,Bronx Park Off-Leash Area,Unionport & Sagamore on Bronx Park East to 233rd Street,Off-Leash,  N,
X010,Crotona Park Off-Leash Area,"1700 Crotona Ave, Bronx, NY 10457",Off-Leash,N,
X013,Devoe Park Off-Leash Area,"W 188th St, Bronx, NY 10468",Off-Leash,N,
X019,Ewen Park Dog Run,"Riverdale to Johnson avenues, south of West 232nd Street",Run,N,
X110A,Frank S. Hackett Park Dog Run,Riverdale Avenue at Henry Hudson Parkway,Run,N,
X047,Franz Sigel Park Dog Run,"Walton Ave & Grand Concourse, Bronx, NY 10451",Run,N,
X080,Henry Hudson Park Off-Leash Area,Kappock Street and Independence Avenue,Off-Leash,N,
X010,Hylan Park Off-Leash Area,"Crotona Park E, Bronx, NY 10460",Off-Leash,N,
X142,Riverdale Park Off-Leash Area,Palisade Avenue from West 232 Street to West 254 Street,Off-Leash,N,
X201,Seton Park Dog Run,West 232nd Street & Independence Avenue,Run,N,
X150G,Siren Slope Park Off-Leash Area,Bailey Avenue and West 230 Street,Off-Leash,N,
X091,Spuyten Duyvil Park Off-Leash Area,Palisade Avenue and Independence Avenue,Off-Leash,N,
X010A,Tremont Park Off-Leash Area,"E 175 St to, E Tremont Ave, Bronx, NY 10457",Off-Leash,N,
X092,Van Cortlandt Park Dog Run,Broadway and 252 Street,Run,N,
X259,Wallenberg Forest Park Off-Leash Area,"Palisade Avenue, Douglas Avenue, West 235 Street",Off-Leash,N,
X104,Williamsbridge Oval Dog Run,3225 Reservoir Oval East,Run,N,
B080,Asser Levy Park Off-Leash Area,"Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway",Off-Leash,N,
B247,Breukelen Park Off-Leash Area,"Glenwood Rd, Brooklyn, NY 11207",Off-Leash,N,
B431,Brooklyn Bridge Park Dog Run,Pier 6,Run,N,
B113A,Brooklyn War Memorial Off-Leash Area,"Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ",Off-Leash,N,
B018,Canarsie Park Off-Leash Area,"Seaview Ave &, E 102nd St, Brooklyn, NY 11236",Off-Leash,N,
B025,Cooper Park Dog Run,Olive Street and Maspeth Avenue,Run,N,
B223B,DiMattina Park Dog Run,"Hicks St. &, Rapelye St, Brooklyn, NY 11231",Run,N,
B028,Dyker Beach Park Dog Run,7th Avenue and 86th Street,Run,N,
B028,Dyker Beach Park Off-Leash Area,"Cropsey Avenue, Bay 8th Street, and Poly Place",Off-Leash,N,
B032,Fort Greene Park Off-Leash Area,"Washington Park St, Brooklyn, NY 11205",Off-Leash,N,
B372,Friends Field Park Off-Leash Area,"East 4th Street, Avenue L, and McDonald Avenue",Off-Leash,N,
B088,Herbert Von King Park Dog Run,Marcy Avenue & Lafayette Avenue,Run,N,
B223G,Hillside Park Dog Run,"Vine St, Brooklyn, NY 11201",Run,N,
B111,J.J. Byrne Memorial Park Dog Run,"3rd to 4th streets, 4th to 5th avenues",Run,N,
B035,John Paul Jones Park Off-Leash Area,4th Avenue and 101st Street ,Off-Leash,N,
B129,Kaiser Park Off-Leash Area,"Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek",Off-Leash,N,
B052,Leif Ericson Park Off-Leash Area,"66th St, Brooklyn, NY 11220",Off-Leash,N,
B054,Lincoln Terrace Park Off-Leash Area,Eastern Parkway between Buffalo and Rochester avenues,Off-Leash,N,
B223S,Macri Square Park Off-Leash Area,Union Turnpike and Metropolitan Avenue,Off-Leash,N,Off-leash dogs are permitted throughout this small park.
B251,Manhattan Beach Dog Run,"East of Ocean Avenue, North Shore Rockaway inlet",Run,N,
B057,Marine Park Off-Leash Area,"Fillmore Ave, Brooklyn, NY 11229",Off-Leash,N,
B058,McCarren Park Dog Run,"North 12th Street, Driggs Avenue and Union Avenue",Run,N,
B114,McGolrick Park Dog Run,North Henry Street and Driggs Avenue,Run,N,
B060,McKinley Park Off-Leash Area,"Fort Hamilton Parkway, 7th Avenue, 73rd Street to 75th Street",Off-Leash,N,
B159,Mount Prospect Park Off-Leash Area,"95 Prospect Park West, Brooklyn, NY 11215",Off-Leash,N,
B066,Owls Head Park Dog Run,68th Street and Shore Road,Run,N,
B223DA,Adam Yauch Park Dog Run,"5512, 27 State St, Brooklyn, NY 11201",Run,N,
B082,Shore Road Park Off-Leash Area,"Shore Road, 4th Avenue to 69th Street ",Off-Leash,N,
B087,Sunset Park Off-Leash Area,"Sunset Park Oval lawn area only, center of park 44th Street, 41st Street, 6th Avenue",Off-Leash,N,
M081,Carl Schurz Park Dog Run (2 runs),East End Avenue to East River from Gracie Square (East 84th Street) to 89th Street,Run,N,
M010,Central Park Off-Leash Area,"Though there are no enclosed dog runs, there are 23 particularly dog-friendly areas scattered throughout the Park.",Off-Leash,N,"Please see Central Park Conservancy's <a href=""http://assets.centralparknyc.org/pdfs/about/Dog_Owner_Guide_to_Central_Park.pdf"">Dog-Friendly Areas</a> document for details."
M,Chelsea Waterside Park Dog Run,11th Ave and 22nd Street,Run,N,"<em>*Please note: this dog run is administered by the Hudson River Park Trust.</em>
<br /><a href=""http://www.hudsonriverpark.org/explore/dogruncw.html"">More information.</a>"
M019,Coleman Oval Park Dog Run,Pike and Monroe streets,Run,N,
M022,De Witt Clinton Park Dog Run (2 runs),"West 52nd Street & West 54th Street, between 10th & 11th avenues",Run,N,
M291,Fish Bridge Park Dog Run,"Dover Street, between Pearl & Water Street",Run,N,
M029,Fort Tryon Park Dog Run,Margaret Corbin Drive,Run,N,"<a href=""http://www.ftdog.org/"">More information.</a>"
M028,Ft. Washington Park Dog Run,165th Street & Riverside Drive,Run,N,
M037,Highbridge Park Dog Run,Amsterdam and Fort George avenues,Run,N,"<a href=""http://www.highbridgek9club.org/"">More Information</a>."
M,Hudson River Park Dog Run (Greenwich Village),Leroy Street at the northeast corner of Pier 40,Run,N,"<a href=""http://www.hudsonriverpark.org/explore/dogrunleroyst.html"">More information.</a>"
