"Prop_ID","Name","Address","DogRuns_Type","Borough","Notes","Longitude","Latitude"
"X002","Bronx Park Off-Leash Area","Unionport & Sagamore on Bronx Park East to 233rd Street","Off-Leash","  N","",-73.8507279,40.8275474
"X010","Crotona Park Off-Leash Area","1700 Crotona Ave, Bronx, NY 10457","Off-Leash","N","",-73.8975507,40.8366249
"X013","Devoe Park Off-Leash Area","W 188th St, Bronx, NY 10468","Off-Leash","N","",-73.9031148,40.8640968
"X019","Ewen Park Dog Run","Riverdale to Johnson avenues, south of West 232nd Street","Run","N","",-73.8507279,40.8275474
"X110A","Frank S. Hackett Park Dog Run","Riverdale Avenue at Henry Hudson Parkway","Run","N","",-73.907458,40.8993954
"X047","Franz Sigel Park Dog Run","Walton Ave & Grand Concourse, Bronx, NY 10451","Run","N","",-73.9169127,40.8383387
"X080","Henry Hudson Park Off-Leash Area","Kappock Street and Independence Avenue","Off-Leash","N","",-73.9193047,40.8806958
"X010","Hylan Park Off-Leash Area","Crotona Park E, Bronx, NY 10460","Off-Leash","N","",-73.8922443,40.8366473
"X142","Riverdale Park Off-Leash Area","Palisade Avenue from West 232 Street to West 254 Street","Off-Leash","N","",-73.9156226,40.8952693
"X201","Seton Park Dog Run","West 232nd Street & Independence Avenue","Run","N","",-73.9108448,40.8836207
"X150G","Siren Slope Park Off-Leash Area","Bailey Avenue and West 230 Street","Off-Leash","N","",-73.9040503,40.8761434
"X091","Spuyten Duyvil Park Off-Leash Area","Palisade Avenue and Independence Avenue","Off-Leash","N","",-73.9223602,40.8804729
"X010A","Tremont Park Off-Leash Area","E 175 St to, E Tremont Ave, Bronx, NY 10457","Off-Leash","N","",-73.8952338,40.8452505
"X092","Van Cortlandt Park Dog Run","Broadway and 252 Street","Run","N","",-73.8970068,40.8978911
"X259","Wallenberg Forest Park Off-Leash Area","Palisade Avenue, Douglas Avenue, West 235 Street","Off-Leash","N","",-73.9165713,40.8869086
"X104","Williamsbridge Oval Dog Run","3225 Reservoir Oval East","Run","N","",-73.8786141,40.8766392
"B080","Asser Levy Park Off-Leash Area","Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway","Off-Leash","N","",-73.9689717,40.5752791
"B247","Breukelen Park Off-Leash Area","Glenwood Rd, Brooklyn, NY 11207","Off-Leash","N","",-73.903982,40.6440588
"B431","Brooklyn Bridge Park Dog Run","Pier 6","Run","N","",-74.0016887,40.6932222
"B113A","Brooklyn War Memorial Off-Leash Area","Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ","Off-Leash","N","",-73.9906433,40.6976723
"B018","Canarsie Park Off-Leash Area","Seaview Ave &, E 102nd St, Brooklyn, NY 11236","Off-Leash","N","",-74.096412,40.692749
"B025","Cooper Park Dog Run","Olive Street and Maspeth Avenue","Run","N","",-73.9390208,40.7160683
"B223B","DiMattina Park Dog Run","Hicks St. &, Rapelye St, Brooklyn, NY 11231","Run","N","",-73.999638,40.687315
"B028","Dyker Beach Park Dog Run","7th Avenue and 86th Street","Run","N","",-74.0212144,40.6184722
"B028","Dyker Beach Park Off-Leash Area","Cropsey Avenue, Bay 8th Street, and Poly Place","Off-Leash","N","",-74.0155065,40.6068441
"B032","Fort Greene Park Off-Leash Area","Washington Park St, Brooklyn, NY 11205","Off-Leash","N","",-73.9735601,40.6917124
"B372","Friends Field Park Off-Leash Area","East 4th Street, Avenue L, and McDonald Avenue","Off-Leash","N","",-73.971864,40.61915
"B088","Herbert Von King Park Dog Run","Marcy Avenue & Lafayette Avenue","Run","N","",-73.9578553,40.7084911
"B223G","Hillside Park Dog Run","Vine St, Brooklyn, NY 11201","Run","N","",-73.9932148,40.7016165
"B111","J.J. Byrne Memorial Park Dog Run","3rd to 4th streets, 4th to 5th avenues","Run","N","",-73.9861256,40.672933
"B035","John Paul Jones Park Off-Leash Area","4th Avenue and 101st Street ","Off-Leash","N","",-74.0343047,40.6120262
"B129","Kaiser Park Off-Leash Area","Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek","Off-Leash","N","",-73.9819464,40.5792193
"B052","Leif Ericson Park Off-Leash Area","66th St, Brooklyn, NY 11220","Off-Leash","N","",-74.014236,40.632685
"B054","Lincoln Terrace Park Off-Leash Area","Eastern Parkway between Buffalo and Rochester avenues","Off-Leash","N","",-73.9366428,40.6693118
"B223S","Macri Square Park Off-Leash Area","Union Turnpike and Metropolitan Avenue","Off-Leash","N","Off-leash dogs are permitted throughout this small park.",-73.843153,40.7092704
"B251","Manhattan Beach Dog Run","East of Ocean Avenue, North Shore Rockaway inlet","Run","N","",-73.7501324,40.5914937
"B057","Marine Park Off-Leash Area","Fillmore Ave, Brooklyn, NY 11229","Off-Leash","N","",-73.9317056,40.6123099
"B058","McCarren Park Dog Run","North 12th Street, Driggs Avenue and Union Avenue","Run","N","",-73.9534724,40.7197924
"B114","McGolrick Park Dog Run","North Henry Street and Driggs Avenue","Run","N","",-73.943146,40.7231839
